1.0060000000000007 0 0.0 1 1.0060000000000007 2 0.0 0 1 5676272; 2 
2.1920000000000006 0 0.022 1 2.170000000000001 2 0.0 0 1 5676272 22951944; 2 
3.2119999999999664 0 0.05200000000000003 1 3.157999999999966 2 0.002 0 1 5676272 22951944 22498142; 2 
4.217999999999995 0 0.03800000000000002 1 4.177999999999996 2 0.002 0 1 5676272 22951944 22498142 14465317; 2 
5.293999999999937 0 0.034000000000000016 1 5.253999999999938 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232; 2 
6.24999999999994 0 0.030000000000000013 1 6.2199999999999385 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 15760559; 2 
7.268000000000021 0 0.050000000000000024 1 7.212000000000021 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232 15760559 22750634; 2 
8.257999999999994 0 0.02800000000000001 1 8.229999999999995 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 
9.347999999999963 0 0.05800000000000004 1 8.275999999999987 2 1.0140000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 29620256; 
10.467999999999915 0 0.10200000000000008 1 9.349999999999973 2 1.0160000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229 23538058; 2 29620256; 
32.56000000000005 0 6.325999999999942 1 25.13599999999992 2 1.0980000000000008 0 28447324 19739122 14965263 7768452 14824349 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661; 2 29620256; 
33.51200000000003 0 6.343999999999942 1 25.069999999999947 2 2.098000000000001 0 28447324 19739122 14965263 7768452 14824349 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661; 2 29620256 15904829; 
34.59800000000006 0 6.309999999999945 1 26.187999999999978 2 2.1000000000000005 0 28447324 19739122 14965263 7768452 14824349 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661 21841872; 2 29620256 15904829; 
35.65600000000009 0 7.442000000000015 1 26.13599999999999 2 2.078000000000001 0 28447324 19739122 14965263 7768452 14824349 26747105 5745462; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661 21841872; 2 29620256 15904829; 
36.70600000000007 0 8.385999999999989 1 26.251999999999935 2 2.0680000000000014 0 28447324 19739122 14965263 7768452 14824349 26747105 5745462 41796356; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661 21841872; 2 29620256 15904829; 
37.66400000000007 0 8.441999999999984 1 27.13799999999983 2 2.084000000000001 0 28447324 19739122 14965263 7768452 14824349 26747105 5745462 41796356; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 21499200 14549852 2298661 21841872 14951244; 2 29620256 15904829; 
38.78200000000008 0 8.427999999999987 1 28.283999999999928 2 2.0700000000000016 0 28447324 19739122 14965263 7768452 5745462 14824349 41796356 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 2298661 21841872 21499200 14951244 14549852 18128517; 2 29620256 15904829; 
40.24999999999994 0 8.445999999999986 1 29.669999999999945 2 2.1340000000000012 0 28447324 19739122 14965263 7768452 5745462 14824349 41796356 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 2298661 21841872 21499200 14951244 14549852 18128517 9590002; 2 29620256 15904829; 
41.06599999999996 0 8.465999999999982 1 30.46799999999994 2 2.1320000000000006 0 28447324 19739122 14965263 7768452 5745462 14824349 41796356 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 2298661 21841872 21499200 14951244 14549852 18128517 9590002 12715022; 2 29620256 15904829; 
42.03200000000003 0 9.457999999999954 1 30.423999999999957 2 2.150000000000001 0 28447324 19739122 14965263 7768452 5745462 14824349 41796356 26747105 19765005; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 2298661 21841872 21499200 14951244 14549852 18128517 9590002 12715022; 2 29620256 15904829; 
